"date","year","rep","store","paper","paper.type","unit.price","units.sold","total.sale"
"8372",2012-01-15,2012,"Yunzhu","Syracuse","drawing","pads",10.26,1,10.26
"8771",2012-01-15,2012,"Ruisi","Dublin","watercolor","roll",97.99,1,97.99
"541",2012-01-16,2012,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"2191",2012-01-16,2012,"Yunzhu","Syracuse","drawing","pads",10.26,1,10.26
"2997",2012-01-16,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"5719",2012-01-16,2012,"Arinjay","Portland","watercolor","sheet",0.77,8,6.16
"8605",2012-01-16,2012,"Ran","Dublin","watercolor","pad",12.15,3,36.45
"8914",2012-01-16,2012,"Ran","Dublin","watercolor","sheet",0.77,12,9.24
"3495",2012-01-17,2012,"Ran","Dublin","watercolor","sheet",0.77,12,9.24
"5881",2012-01-17,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"6983",2012-01-17,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"9776",2012-01-17,2012,"Aman","Portland","drawing","pads",10.26,2,20.52
"154",2012-01-18,2012,"Mohit","Davenport","watercolor","sheet",0.77,8,6.16
"1762",2012-01-18,2012,"Arijit","Syracuse","watercolor","block",19.34,2,38.68
"2397",2012-01-18,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"7016",2012-01-18,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"3090",2012-01-19,2012,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"3103",2012-01-19,2012,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"4540",2012-01-19,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"4670",2012-01-19,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"5136",2012-01-19,2012,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"6335",2012-01-19,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"9232",2012-01-19,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"6931",2012-01-20,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,12,9.24
"7140",2012-01-20,2012,"Aman","Portland","drawing","pads",10.26,1,10.26
"4053",2012-01-21,2012,"Qiaoli","Portland","watercolor","sheet",0.77,6,4.62
"4522",2012-01-21,2012,"Patrick","Syracuse","watercolor","roll",97.99,1,97.99
"7148",2012-01-21,2012,"Ruisi","Dublin","watercolor","sheet",0.77,6,4.62
"9130",2012-01-21,2012,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"9474",2012-01-21,2012,"Ruisi","Dublin","drawing","journal",24.94,1,24.94
"274",2012-01-22,2012,"Qiaoli","Portland","drawing","roll",20.99,1,20.99
"2831",2012-01-22,2012,"Qiaoli","Portland","watercolor","pad",12.15,2,24.3
"3591",2012-01-22,2012,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"3454",2012-01-24,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"907",2012-01-25,2012,"Barakat","Portland","drawing","journal",24.94,1,24.94
"4486",2012-01-25,2012,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"4590",2012-01-25,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"6123",2012-01-25,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"7147",2012-01-25,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"549",2012-01-26,2012,"Mohit","Davenport","drawing","pads",10.26,2,20.52
"1834",2012-01-26,2012,"Barakat","Portland","watercolor","pad",12.15,2,24.3
"2154",2012-01-26,2012,"Aman","Portland","watercolor","block",19.34,1,19.34
"6442",2012-01-26,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,4,3.08
"6919",2012-01-26,2012,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"2806",2012-01-27,2012,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"4326",2012-01-27,2012,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"4719",2012-01-27,2012,"Patrick","Syracuse","watercolor","sheet",0.77,10,7.7
"7713",2012-01-27,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,4,3.08
"1199",2012-01-28,2012,"Ruisi","Dublin","watercolor","pad",12.15,2,24.3
"1357",2012-01-28,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"1965",2012-01-28,2012,"Ran","Dublin","watercolor","pad",12.15,3,36.45
"3378",2012-01-28,2012,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"5802",2012-01-28,2012,"Ran","Dublin","watercolor","block",19.34,1,19.34
"6241",2012-01-28,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"6734",2012-01-28,2012,"Patrick","Syracuse","watercolor","pad",12.15,3,36.45
"8398",2012-01-28,2012,"Ruisi","Dublin","watercolor","block",19.34,2,38.68
"453",2012-01-29,2012,"Ran","Dublin","watercolor","sheet",0.77,6,4.62
"1605",2012-01-29,2012,"Ruisi","Dublin","drawing","pads",10.26,2,20.52
"4256",2012-01-29,2012,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"5380",2012-01-29,2012,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"5538",2012-01-29,2012,"Patrick","Syracuse","drawing","pads",10.26,2,20.52
"8039",2012-01-29,2012,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"8484",2012-01-29,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"9680",2012-01-29,2012,"Ruisi","Dublin","watercolor","pad",12.15,3,36.45
"9910",2012-01-29,2012,"Mohit","Davenport","watercolor","sheet",0.77,4,3.08
"1924",2012-01-30,2012,"Qiaoli","Portland","watercolor","pad",12.15,2,24.3
"3099",2012-01-30,2012,"Arinjay","Portland","watercolor","block",19.34,1,19.34
"5019",2012-01-30,2012,"Patrick","Syracuse","drawing","pads",10.26,1,10.26
"966",2012-01-31,2012,"Mohit","Davenport","watercolor","pad",12.15,1,12.15
"9482",2012-01-31,2012,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"256",2012-02-01,2012,"Aman","Portland","drawing","pads",10.26,2,20.52
"8041",2012-02-01,2012,"Aman","Portland","drawing","journal",24.94,1,24.94
"3656",2012-02-02,2012,"Yue","Dublin","watercolor","block",19.34,1,19.34
"5656",2012-02-02,2012,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"1597",2012-02-03,2012,"Ran","Dublin","watercolor","block",19.34,1,19.34
"9223",2012-02-03,2012,"Barakat","Portland","drawing","journal",24.94,1,24.94
"740",2012-02-04,2012,"Mohit","Davenport","watercolor","pad",12.15,1,12.15
"2529",2012-02-04,2012,"Yue","Dublin","watercolor","sheet",0.77,6,4.62
"2913",2012-02-04,2012,"Ruisi","Dublin","drawing","journal",24.94,1,24.94
"3518",2012-02-04,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"4440",2012-02-04,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"8202",2012-02-04,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"8694",2012-02-04,2012,"Ruisi","Dublin","watercolor","block",19.34,2,38.68
"9522",2012-02-04,2012,"Ran","Dublin","drawing","journal",24.94,1,24.94
"9750",2012-02-04,2012,"Yue","Dublin","watercolor","pad",12.15,3,36.45
"644",2012-02-05,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"1122",2012-02-05,2012,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"2781",2012-02-05,2012,"Mohit","Davenport","watercolor","pad",12.15,1,12.15
"2872",2012-02-05,2012,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"3108",2012-02-05,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"4987",2012-02-05,2012,"Aman","Portland","drawing","journal",24.94,1,24.94
"6405",2012-02-05,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"7511",2012-02-05,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"8888",2012-02-05,2012,"Ran","Dublin","watercolor","block",19.34,2,38.68
"9002",2012-02-05,2012,"Barakat","Portland","watercolor","pad",12.15,3,36.45
"2986",2012-02-06,2012,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"3880",2012-02-06,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"9506",2012-02-06,2012,"Yue","Dublin","drawing","roll",20.99,2,41.98
"288",2012-02-07,2012,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"3484",2012-02-07,2012,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"7884",2012-02-07,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,5,3.85
"8154",2012-02-07,2012,"Barakat","Portland","drawing","journal",24.94,1,24.94
"8400",2012-02-07,2012,"Ran","Dublin","drawing","pads",10.26,1,10.26
"9274",2012-02-07,2012,"Mohit","Davenport","watercolor","pad",12.15,2,24.3
"9337",2012-02-07,2012,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"477",2012-02-08,2012,"Thomas","Davenport","drawing","pads",10.26,3,30.78
"2651",2012-02-08,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"3353",2012-02-08,2012,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"5455",2012-02-08,2012,"Mohit","Davenport","drawing","pads",10.26,1,10.26
"5689",2012-02-08,2012,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"8022",2012-02-08,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"8555",2012-02-08,2012,"Thomas","Davenport","drawing","pads",10.26,3,30.78
"9185",2012-02-08,2012,"Yunzhu","Syracuse","drawing","pads",10.26,1,10.26
"383",2012-02-09,2012,"Aman","Portland","drawing","journal",24.94,2,49.88
"2354",2012-02-09,2012,"Ran","Dublin","watercolor","sheet",0.77,9,6.93
"3388",2012-02-09,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"5889",2012-02-10,2012,"Ran","Dublin","drawing","pads",10.26,1,10.26
"6585",2012-02-10,2012,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"7294",2012-02-10,2012,"Barakat","Portland","drawing","roll",20.99,1,20.99
"8342",2012-02-10,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"404",2012-02-11,2012,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"2027",2012-02-11,2012,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"2575",2012-02-11,2012,"Arinjay","Portland","watercolor","block",19.34,1,19.34
"3489",2012-02-11,2012,"Ran","Dublin","watercolor","sheet",0.77,11,8.47
"3667",2012-02-11,2012,"Ruisi","Dublin","watercolor","sheet",0.77,9,6.93
"4556",2012-02-11,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"4721",2012-02-11,2012,"Thomas","Davenport","drawing","roll",20.99,1,20.99
"4730",2012-02-11,2012,"Aman","Portland","drawing","roll",20.99,1,20.99
"5683",2012-02-11,2012,"Mohit","Davenport","drawing","pads",10.26,2,20.52
"9253",2012-02-11,2012,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"9306",2012-02-11,2012,"Thomas","Davenport","watercolor","sheet",0.77,8,6.16
"579",2012-02-12,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"664",2012-02-12,2012,"Patrick","Syracuse","watercolor","block",19.34,1,19.34
"1690",2012-02-12,2012,"Barakat","Portland","drawing","pads",10.26,1,10.26
"1970",2012-02-12,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"4740",2012-02-12,2012,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"5298",2012-02-12,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"6749",2012-02-12,2012,"Ran","Dublin","watercolor","block",19.34,1,19.34
"1747",2012-02-13,2012,"Aman","Portland","watercolor","pad",12.15,3,36.45
"8426",2012-02-13,2012,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"8513",2012-02-13,2012,"Patrick","Syracuse","drawing","pads",10.26,1,10.26
"9443",2012-02-13,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"1652",2012-02-14,2012,"Aman","Portland","drawing","journal",24.94,2,49.88
"2000",2012-02-14,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"2665",2012-02-14,2012,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"4667",2012-02-14,2012,"Arinjay","Portland","drawing","journal",24.94,2,49.88
"4858",2012-02-14,2012,"Qiaoli","Portland","watercolor","sheet",0.77,8,6.16
"6691",2012-02-14,2012,"Yunzhu","Syracuse","drawing","pads",10.26,2,20.52
"7050",2012-02-14,2012,"Barakat","Portland","watercolor","pad",12.15,1,12.15
"8420",2012-02-14,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"455",2012-02-15,2012,"Qiaoli","Portland","watercolor","sheet",0.77,7,5.39
"466",2012-02-15,2012,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"7551",2012-02-15,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"1453",2012-02-16,2012,"Qiaoli","Portland","watercolor","pad",12.15,2,24.3
"2259",2012-02-16,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"4942",2012-02-16,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,7,5.39
"6644",2012-02-16,2012,"Mohit","Davenport","drawing","pads",10.26,1,10.26
"7900",2012-02-16,2012,"Patrick","Syracuse","watercolor","sheet",0.77,5,3.85
"879",2012-02-17,2012,"Ran","Dublin","drawing","pads",10.26,1,10.26
"1353",2012-02-17,2012,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"1479",2012-02-17,2012,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"8218",2012-02-17,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"4433",2012-02-18,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"4589",2012-02-18,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,6,4.62
"4870",2012-02-18,2012,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"6374",2012-02-18,2012,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"7861",2012-02-18,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"9283",2012-02-18,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"2764",2012-02-19,2012,"Arijit","Syracuse","drawing","pads",10.26,1,10.26
"2955",2012-02-19,2012,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"3045",2012-02-19,2012,"Yue","Dublin","drawing","roll",20.99,1,20.99
"6959",2012-02-19,2012,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"7313",2012-02-19,2012,"Ruisi","Dublin","watercolor","sheet",0.77,8,6.16
"8301",2012-02-19,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"8828",2012-02-19,2012,"Ran","Dublin","watercolor","sheet",0.77,11,8.47
"9529",2012-02-19,2012,"Aman","Portland","drawing","journal",24.94,1,24.94
"285",2012-02-20,2012,"Patrick","Syracuse","drawing","pads",10.26,2,20.52
"312",2012-02-20,2012,"Arinjay","Portland","watercolor","sheet",0.77,12,9.24
"1860",2012-02-20,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"2788",2012-02-20,2012,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"7731",2012-02-20,2012,"Barakat","Portland","drawing","journal",24.94,1,24.94
"7818",2012-02-20,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"9402",2012-02-20,2012,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"7441",2012-02-21,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"7775",2012-02-21,2012,"Aman","Portland","watercolor","block",19.34,1,19.34
"8812",2012-02-21,2012,"Aman","Portland","watercolor","block",19.34,1,19.34
"646",2012-02-22,2012,"Aman","Portland","watercolor","block",19.34,1,19.34
"3716",2012-02-22,2012,"Patrick","Syracuse","watercolor","pad",12.15,2,24.3
"4196",2012-02-22,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"4874",2012-02-22,2012,"Arijit","Syracuse","watercolor","sheet",0.77,11,8.47
"5648",2012-02-22,2012,"Qiaoli","Portland","drawing","pads",10.26,1,10.26
"7204",2012-02-22,2012,"Ran","Dublin","drawing","journal",24.94,2,49.88
"7926",2012-02-22,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"9001",2012-02-22,2012,"Arinjay","Portland","drawing","roll",20.99,1,20.99
"9652",2012-02-22,2012,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"1608",2012-02-23,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"4746",2012-02-23,2012,"Thomas","Davenport","drawing","roll",20.99,1,20.99
"6760",2012-02-23,2012,"Mohit","Davenport","drawing","roll",20.99,2,41.98
"6921",2012-02-23,2012,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
"8015",2012-02-23,2012,"Arinjay","Portland","watercolor","block",19.34,1,19.34
"8046",2012-02-23,2012,"Ran","Dublin","drawing","journal",24.94,1,24.94
"9867",2012-02-23,2012,"Aman","Portland","watercolor","roll",97.99,1,97.99
"181",2012-02-24,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"1217",2012-02-24,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"2048",2012-02-24,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,2,24.3
"191",2012-02-25,2012,"Mohit","Davenport","drawing","pads",10.26,2,20.52
"266",2012-02-25,2012,"Ran","Dublin","watercolor","block",19.34,1,19.34
"1620",2012-02-25,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"1693",2012-02-25,2012,"Arinjay","Portland","watercolor","pad",12.15,2,24.3
"2896",2012-02-25,2012,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"3202",2012-02-25,2012,"Ruisi","Dublin","watercolor","pad",12.15,2,24.3
"3588",2012-02-25,2012,"Thomas","Davenport","watercolor","pad",12.15,2,24.3
"3856",2012-02-25,2012,"Patrick","Syracuse","watercolor","block",19.34,2,38.68
"3969",2012-02-25,2012,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"4224",2012-02-25,2012,"Patrick","Syracuse","drawing","sheet",0.36,16,5.76
"4357",2012-02-25,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"5086",2012-02-25,2012,"Arinjay","Portland","drawing","pads",10.26,1,10.26
"5868",2012-02-25,2012,"Arinjay","Portland","drawing","pads",10.26,2,20.52
"7291",2012-02-25,2012,"Ran","Dublin","watercolor","block",19.34,1,19.34
"7670",2012-02-25,2012,"Barakat","Portland","watercolor","block",19.34,2,38.68
"8215",2012-02-25,2012,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"8295",2012-02-25,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,7,5.39
"9236",2012-02-25,2012,"Ruisi","Dublin","watercolor","sheet",0.77,15,11.55
"9481",2012-02-25,2012,"Yunzhu","Syracuse","drawing","roll",20.99,1,20.99
"596",2012-02-26,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"2044",2012-02-26,2012,"Yue","Dublin","watercolor","roll",97.99,1,97.99
"4154",2012-02-26,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"4350",2012-02-26,2012,"Ran","Dublin","drawing","pads",10.26,2,20.52
"4680",2012-02-26,2012,"Thomas","Davenport","drawing","pads",10.26,2,20.52
"4793",2012-02-26,2012,"Ran","Dublin","watercolor","pad",12.15,2,24.3
"5223",2012-02-26,2012,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"5478",2012-02-26,2012,"Patrick","Syracuse","watercolor","pad",12.15,3,36.45
"6463",2012-02-26,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"7842",2012-02-26,2012,"Aman","Portland","watercolor","block",19.34,1,19.34
"8045",2012-02-26,2012,"Patrick","Syracuse","watercolor","sheet",0.77,8,6.16
"8197",2012-02-26,2012,"Barakat","Portland","watercolor","block",19.34,1,19.34
"8871",2012-02-26,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"9193",2012-02-26,2012,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"3864",2012-02-27,2012,"Mohit","Davenport","watercolor","roll",97.99,1,97.99
"7403",2012-02-27,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"7871",2012-02-28,2012,"Arijit","Syracuse","watercolor","pad",12.15,2,24.3
"9039",2012-02-28,2012,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"521",2012-02-29,2012,"Qiaoli","Portland","watercolor","block",19.34,2,38.68
"4016",2012-02-29,2012,"Ran","Dublin","watercolor","block",19.34,2,38.68
"4864",2012-02-29,2012,"Barakat","Portland","watercolor","roll",97.99,1,97.99
"5413",2012-02-29,2012,"Mohit","Davenport","drawing","journal",24.94,1,24.94
"5829",2012-02-29,2012,"Patrick","Syracuse","drawing","roll",20.99,2,41.98
"2948",2012-03-01,2012,"Ruisi","Dublin","drawing","pads",10.26,2,20.52
"5248",2012-03-01,2012,"Yunzhu","Syracuse","drawing","pads",10.26,6,61.56
"5641",2012-03-01,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"7472",2012-03-01,2012,"Ran","Dublin","drawing","journal",24.94,1,24.94
"833",2012-03-02,2012,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"3568",2012-03-02,2012,"Arijit","Syracuse","watercolor","block",19.34,1,19.34
